model_name,timestamp,accuracy,precision,recall,f1_score,roc_auc_score,confusion_matrix,classification_report,roc_curve,best_params,best_cv_score
ad_V1,2025-08-11 14:38:59,0.8125,0.7837837837837838,0.8787878787878788,0.8285714285714286,0.1192570869990224,"[[29, 4], [8, 23]]","{'0': {'precision': 0.7837837837837838, 'recall': 0.8787878787878788, 'f1-score': 0.8285714285714286, 'support': 33.0}, '1': {'precision': 0.8518518518518519, 'recall': 0.7419354838709677, 'f1-score': 0.7931034482758621, 'support': 31.0}, 'accuracy': 0.8125, 'macro avg': {'precision': 0.8178178178178178, 'recall': 0.8103616813294232, 'f1-score': 0.8108374384236454, 'support': 64.0}, 'weighted avg': {'precision': 0.8167542542542543, 'recall': 0.8125, 'f1-score': 0.8113916256157636, 'support': 64.0}}","{'fpr': [0.0, 0.030303030303030304, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 0.6060606060606061, 0.6060606060606061, 0.6363636363636364, 0.6363636363636364, 0.7575757575757576, 0.7575757575757576, 0.7878787878787878, 0.7878787878787878, 0.8181818181818182, 0.8181818181818182, 0.8787878787878788, 0.8787878787878788, 0.9090909090909091, 0.9090909090909091, 0.9393939393939394, 0.9393939393939394, 0.9696969696969697, 0.9696969696969697, 1.0, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.03225806451612903, 0.03225806451612903, 0.06451612903225806, 0.06451612903225806, 0.0967741935483871, 0.0967741935483871, 0.12903225806451613, 0.12903225806451613, 0.16129032258064516, 0.16129032258064516, 0.1935483870967742, 0.1935483870967742, 0.22580645161290322, 0.22580645161290322, 0.25806451612903225, 0.25806451612903225, 0.2903225806451613, 0.2903225806451613, 0.3870967741935484, 0.3870967741935484, 0.8709677419354839, 0.8709677419354839, 1.0]}",,
ad_V2,2025-08-11 14:39:40,0.84375,0.8108108108108109,0.9090909090909092,0.8571428571428571,0.126099706744868,"[[30, 3], [7, 24]]","{'0': {'precision': 0.8108108108108109, 'recall': 0.9090909090909091, 'f1-score': 0.8571428571428571, 'support': 33.0}, '1': {'precision': 0.8888888888888888, 'recall': 0.7741935483870968, 'f1-score': 0.8275862068965517, 'support': 31.0}, 'accuracy': 0.84375, 'macro avg': {'precision': 0.8498498498498499, 'recall': 0.8416422287390029, 'f1-score': 0.8423645320197044, 'support': 64.0}, 'weighted avg': {'precision': 0.8486298798798799, 'recall': 0.84375, 'f1-score': 0.8428263546798029, 'support': 64.0}}","{'fpr': [0.0, 0.030303030303030304, 0.30303030303030304, 0.30303030303030304, 0.36363636363636365, 0.42424242424242425, 0.42424242424242425, 0.45454545454545453, 0.45454545454545453, 0.5151515151515151, 0.5151515151515151, 0.8484848484848485, 0.8484848484848485, 0.9090909090909091, 0.9090909090909091, 0.9393939393939394, 0.9393939393939394, 0.9696969696969697, 0.9696969696969697, 1.0, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.06451612903225806, 0.06451612903225806, 0.0967741935483871, 0.0967741935483871, 0.16129032258064516, 0.16129032258064516, 0.22580645161290322, 0.22580645161290322, 0.2903225806451613, 0.2903225806451613, 0.45161290322580644, 0.45161290322580644, 0.8064516129032258, 0.8064516129032258, 1.0]}",,
ad_V3,2025-08-11 14:43:49,0.8125,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.1705767350928641,"[[31, 2], [10, 21]]","{'0': {'precision': 0.7560975609756098, 'recall': 0.9393939393939394, 'f1-score': 0.8378378378378378, 'support': 33.0}, '1': {'precision': 0.9130434782608695, 'recall': 0.6774193548387096, 'f1-score': 0.7777777777777778, 'support': 31.0}, 'accuracy': 0.8125, 'macro avg': {'precision': 0.8345705196182396, 'recall': 0.8084066471163245, 'f1-score': 0.8078078078078078, 'support': 64.0}, 'weighted avg': {'precision': 0.8321182396606575, 'recall': 0.8125, 'f1-score': 0.8087462462462462, 'support': 64.0}}","{'fpr': [0.0, 0.45454545454545453, 0.6060606060606061, 0.696969696969697, 0.7575757575757576, 0.7575757575757576, 0.8484848484848485, 0.9090909090909091, 0.9393939393939394, 0.9393939393939394, 0.9696969696969697, 0.9696969696969697, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'tpr': [0.0, 0.16129032258064516, 0.1935483870967742, 0.1935483870967742, 0.22580645161290322, 0.25806451612903225, 0.25806451612903225, 0.3225806451612903, 0.3225806451612903, 0.3870967741935484, 0.41935483870967744, 0.45161290322580644, 0.45161290322580644, 0.5161290322580645, 0.5806451612903226, 0.6129032258064516, 0.6774193548387096, 0.7419354838709677, 0.9354838709677419, 1.0]}","{'estimator': DecisionTreeClassifier(), 'estimator__max_depth': 1, 'learning_rate': 0.1, 'n_estimators': 50}",0.7671549563564082
ad_V4,2025-08-11 14:44:54,0.71875,0.7142857142857143,0.7575757575757576,0.7352941176470589,0.1715542521994135,"[[25, 8], [10, 21]]","{'0': {'precision': 0.7142857142857143, 'recall': 0.7575757575757576, 'f1-score': 0.7352941176470589, 'support': 33.0}, '1': {'precision': 0.7241379310344828, 'recall': 0.6774193548387096, 'f1-score': 0.7, 'support': 31.0}, 'accuracy': 0.71875, 'macro avg': {'precision': 0.7192118226600985, 'recall': 0.7174975562072337, 'f1-score': 0.7176470588235294, 'support': 64.0}, 'weighted avg': {'precision': 0.719057881773399, 'recall': 0.71875, 'f1-score': 0.7181985294117648, 'support': 64.0}}","{'fpr': [0.0, 0.030303030303030304, 0.09090909090909091, 0.3939393939393939, 0.48484848484848486, 0.5151515151515151, 0.5454545454545454, 0.6363636363636364, 0.696969696969697, 0.7272727272727273, 0.7272727272727273, 0.7575757575757576, 0.7575757575757576, 0.8484848484848485, 0.8787878787878788, 0.8787878787878788, 0.9090909090909091, 0.9696969696969697, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.12903225806451613, 0.16129032258064516, 0.1935483870967742, 0.1935483870967742, 0.1935483870967742, 0.1935483870967742, 0.1935483870967742, 0.25806451612903225, 0.25806451612903225, 0.3225806451612903, 0.3225806451612903, 0.3225806451612903, 0.3548387096774194, 0.3548387096774194, 0.3870967741935484, 0.41935483870967744, 0.4838709677419355, 0.5483870967741935, 0.6129032258064516, 0.9032258064516129, 1.0]}","{'estimator': DecisionTreeClassifier(), 'estimator__max_depth': 2, 'learning_rate': 0.01, 'n_estimators': 300}",0.7604512571543356
