model_name,timestamp,accuracy,precision,recall,f1_score,roc_auc_score,confusion_matrix,classification_report,roc_curve,best_params,best_cv_score
LR_V1,2025-08-11 13:51:04,0.765625,0.7368421052631579,0.8484848484848485,0.7887323943661971,0.8836754643206256,"[[28, 5], [10, 21]]","{'0': {'precision': 0.7368421052631579, 'recall': 0.8484848484848485, 'f1-score': 0.7887323943661971, 'support': 33.0}, '1': {'precision': 0.8076923076923077, 'recall': 0.6774193548387096, 'f1-score': 0.7368421052631579, 'support': 31.0}, 'accuracy': 0.765625, 'macro avg': {'precision': 0.7722672064777327, 'recall': 0.7629521016617791, 'f1-score': 0.7627872498146775, 'support': 64.0}, 'weighted avg': {'precision': 0.7711601720647774, 'recall': 0.765625, 'f1-score': 0.7635980355819125, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.3939393939393939, 0.3939393939393939, 0.8484848484848485, 0.8484848484848485, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.5483870967741935, 0.5483870967741935, 0.6129032258064516, 0.6129032258064516, 0.6451612903225806, 0.6451612903225806, 0.6774193548387096, 0.6774193548387096, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",,
LR_Featured,2025-08-11 13:51:34,0.78125,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.8680351906158357,"[[27, 6], [8, 23]]","{'0': {'precision': 0.7714285714285715, 'recall': 0.8181818181818182, 'f1-score': 0.7941176470588235, 'support': 33.0}, '1': {'precision': 0.7931034482758621, 'recall': 0.7419354838709677, 'f1-score': 0.7666666666666667, 'support': 31.0}, 'accuracy': 0.78125, 'macro avg': {'precision': 0.7822660098522167, 'recall': 0.7800586510263929, 'f1-score': 0.7803921568627451, 'support': 64.0}, 'weighted avg': {'precision': 0.7819273399014779, 'recall': 0.78125, 'f1-score': 0.7808210784313725, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.12121212121212122, 0.12121212121212122, 0.15151515151515152, 0.15151515151515152, 0.18181818181818182, 0.18181818181818182, 0.24242424242424243, 0.24242424242424243, 0.30303030303030304, 0.30303030303030304, 0.45454545454545453, 0.45454545454545453, 0.7272727272727273, 0.7272727272727273, 0.9393939393939394, 0.9393939393939394, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.3870967741935484, 0.3870967741935484, 0.4838709677419355, 0.4838709677419355, 0.5161290322580645, 0.5161290322580645, 0.6774193548387096, 0.6774193548387096, 0.7096774193548387, 0.7096774193548387, 0.7419354838709677, 0.7419354838709677, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}",,
LR_Original_grid,2025-08-11 13:52:33,0.765625,0.7368421052631579,0.8484848484848485,0.7887323943661971,0.863147605083089,"[[28, 5], [10, 21]]","{'0': {'precision': 0.7368421052631579, 'recall': 0.8484848484848485, 'f1-score': 0.7887323943661971, 'support': 33.0}, '1': {'precision': 0.8076923076923077, 'recall': 0.6774193548387096, 'f1-score': 0.7368421052631579, 'support': 31.0}, 'accuracy': 0.765625, 'macro avg': {'precision': 0.7722672064777327, 'recall': 0.7629521016617791, 'f1-score': 0.7627872498146775, 'support': 64.0}, 'weighted avg': {'precision': 0.7711601720647774, 'recall': 0.765625, 'f1-score': 0.7635980355819125, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 0.24242424242424243, 0.24242424242424243, 0.2727272727272727, 0.2727272727272727, 0.30303030303030304, 0.30303030303030304, 0.36363636363636365, 0.36363636363636365, 0.3939393939393939, 0.3939393939393939, 0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.8181818181818182, 0.8181818181818182, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.5483870967741935, 0.5483870967741935, 0.6129032258064516, 0.6129032258064516, 0.7096774193548387, 0.7096774193548387, 0.7419354838709677, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'C': np.float64(21.54434690031882), 'l1_ratio': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.7686874327174703
LR_Featured_grid,2025-08-11 13:53:29,0.796875,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.8680351906158357,"[[28, 5], [8, 23]]","{'0': {'precision': 0.7777777777777778, 'recall': 0.8484848484848485, 'f1-score': 0.8115942028985508, 'support': 33.0}, '1': {'precision': 0.8214285714285714, 'recall': 0.7419354838709677, 'f1-score': 0.7796610169491526, 'support': 31.0}, 'accuracy': 0.796875, 'macro avg': {'precision': 0.7996031746031746, 'recall': 0.7952101661779081, 'f1-score': 0.7956276099238517, 'support': 64.0}, 'weighted avg': {'precision': 0.7989211309523809, 'recall': 0.796875, 'f1-score': 0.7961265659543111, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.15151515151515152, 0.15151515151515152, 0.24242424242424243, 0.24242424242424243, 0.3333333333333333, 0.3333333333333333, 0.3939393939393939, 0.3939393939393939, 0.45454545454545453, 0.45454545454545453, 0.7575757575757576, 0.7575757575757576, 0.8787878787878788, 0.8787878787878788, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.45161290322580644, 0.45161290322580644, 0.5806451612903226, 0.5806451612903226, 0.6129032258064516, 0.6129032258064516, 0.6451612903225806, 0.6451612903225806, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'C': np.float64(0.3593813663804626), 'l1_ratio': None, 'penalty': 'l2', 'solver': 'liblinear'}",0.7512304416939364
