model_name,timestamp,accuracy,precision,recall,f1_score,roc_auc_score,confusion_matrix,classification_report,roc_curve,best_params,best_cv_score
RF_V1,2025-08-11 14:07:17,0.796875,0.8125,0.7878787878787878,0.8,0.8699902248289344,"[[26, 7], [6, 25]]","{'0': {'precision': 0.8125, 'recall': 0.7878787878787878, 'f1-score': 0.8, 'support': 33.0}, '1': {'precision': 0.78125, 'recall': 0.8064516129032258, 'f1-score': 0.7936507936507936, 'support': 31.0}, 'accuracy': 0.796875, 'macro avg': {'precision': 0.796875, 'recall': 0.7971652003910068, 'f1-score': 0.7968253968253969, 'support': 64.0}, 'weighted avg': {'precision': 0.79736328125, 'recall': 0.796875, 'f1-score': 0.7969246031746031, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.12121212121212122, 0.15151515151515152, 0.15151515151515152, 0.18181818181818182, 0.18181818181818182, 0.21212121212121213, 0.21212121212121213, 0.3333333333333333, 0.3939393939393939, 0.45454545454545453, 0.5151515151515151, 0.6060606060606061, 0.6666666666666666, 0.696969696969697, 0.7272727272727273, 0.7575757575757576, 0.7575757575757576, 0.8484848484848485, 0.9090909090909091, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.0967741935483871, 0.25806451612903225, 0.25806451612903225, 0.3548387096774194, 0.3870967741935484, 0.3870967741935484, 0.41935483870967744, 0.4838709677419355, 0.5161290322580645, 0.6451612903225806, 0.6451612903225806, 0.7096774193548387, 0.7419354838709677, 0.7741935483870968, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0, 1.0]}",,
RF_V2,2025-08-11 14:07:50,0.8125,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8954056695992179,"[[27, 6], [6, 25]]","{'0': {'precision': 0.8181818181818182, 'recall': 0.8181818181818182, 'f1-score': 0.8181818181818182, 'support': 33.0}, '1': {'precision': 0.8064516129032258, 'recall': 0.8064516129032258, 'f1-score': 0.8064516129032258, 'support': 31.0}, 'accuracy': 0.8125, 'macro avg': {'precision': 0.8123167155425219, 'recall': 0.8123167155425219, 'f1-score': 0.8123167155425219, 'support': 64.0}, 'weighted avg': {'precision': 0.8125, 'recall': 0.8125, 'f1-score': 0.8125, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.12121212121212122, 0.12121212121212122, 0.18181818181818182, 0.18181818181818182, 0.21212121212121213, 0.24242424242424243, 0.36363636363636365, 0.48484848484848486, 0.5151515151515151, 0.5454545454545454, 0.5757575757575758, 0.6060606060606061, 0.6666666666666666, 0.6666666666666666, 0.7878787878787878, 0.8484848484848485, 0.9393939393939394, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.3548387096774194, 0.41935483870967744, 0.4838709677419355, 0.4838709677419355, 0.5161290322580645, 0.5483870967741935, 0.6129032258064516, 0.7096774193548387, 0.7741935483870968, 0.8064516129032258, 0.8064516129032258, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0]}",,
RF_V3,2025-08-11 14:20:25,0.859375,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.9120234604105572,"[[29, 4], [5, 26]]","{'0': {'precision': 0.8529411764705882, 'recall': 0.8787878787878788, 'f1-score': 0.8656716417910447, 'support': 33.0}, '1': {'precision': 0.8666666666666667, 'recall': 0.8387096774193549, 'f1-score': 0.8524590163934426, 'support': 31.0}, 'accuracy': 0.859375, 'macro avg': {'precision': 0.8598039215686275, 'recall': 0.8587487781036168, 'f1-score': 0.8590653290922436, 'support': 64.0}, 'weighted avg': {'precision': 0.8595894607843138, 'recall': 0.859375, 'f1-score': 0.8592717763640811, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.12121212121212122, 0.12121212121212122, 0.21212121212121213, 0.21212121212121213, 0.24242424242424243, 0.24242424242424243, 0.5757575757575758, 0.5757575757575758, 0.6060606060606061, 0.6060606060606061, 0.6363636363636364, 0.6363636363636364, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.6451612903225806, 0.6451612903225806, 0.7419354838709677, 0.7419354838709677, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.7688114425257282
RF_V4,2025-08-11 14:34:48,0.828125,0.8055555555555556,0.8787878787878788,0.8405797101449275,0.8949169110459433,"[[29, 4], [7, 24]]","{'0': {'precision': 0.8055555555555556, 'recall': 0.8787878787878788, 'f1-score': 0.8405797101449275, 'support': 33.0}, '1': {'precision': 0.8571428571428571, 'recall': 0.7741935483870968, 'f1-score': 0.8135593220338984, 'support': 31.0}, 'accuracy': 0.828125, 'macro avg': {'precision': 0.8313492063492063, 'recall': 0.8264907135874877, 'f1-score': 0.8270695160894129, 'support': 64.0}, 'weighted avg': {'precision': 0.8305431547619048, 'recall': 0.828125, 'f1-score': 0.8274917096536477, 'support': 64.0}}","{'fpr': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.12121212121212122, 0.12121212121212122, 0.15151515151515152, 0.18181818181818182, 0.30303030303030304, 0.30303030303030304, 0.36363636363636365, 0.42424242424242425, 0.45454545454545453, 0.5151515151515151, 0.5757575757575758, 0.5757575757575758, 0.6363636363636364, 0.6666666666666666, 0.6666666666666666, 1.0], 'tpr': [0.0, 0.03225806451612903, 0.16129032258064516, 0.22580645161290322, 0.3870967741935484, 0.45161290322580644, 0.5483870967741935, 0.5483870967741935, 0.5806451612903226, 0.6129032258064516, 0.6451612903225806, 0.6451612903225806, 0.6774193548387096, 0.7096774193548387, 0.8064516129032258, 0.8064516129032258, 0.8387096774193549, 0.8387096774193549, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 0.967741935483871, 1.0, 1.0]}","{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7709215547138903
RF_Best,2025-08-12 10:04:54,0.9607843137254902,0.9402985074626866,0.984375,0.9618320610687023,0.9956938976377953,"[[126, 2], [8, 119]]","{'0': {'precision': 0.9402985074626866, 'recall': 0.984375, 'f1-score': 0.9618320610687023, 'support': 128.0}, '1': {'precision': 0.9834710743801653, 'recall': 0.937007874015748, 'f1-score': 0.9596774193548387, 'support': 127.0}, 'accuracy': 0.9607843137254902, 'macro avg': {'precision': 0.961884790921426, 'recall': 0.9606914370078741, 'f1-score': 0.9607547402117705, 'support': 255.0}, 'weighted avg': {'precision': 0.9618001388294309, 'recall': 0.9607843137254902, 'f1-score': 0.9607589649994448, 'support': 255.0}}","{'fpr': [0.0, 0.0, 0.0, 0.015625, 0.015625, 0.046875, 0.046875, 0.078125, 0.078125, 0.109375, 0.109375, 0.1875, 0.1875, 1.0], 'tpr': [0.0, 0.007874015748031496, 0.9212598425196851, 0.9212598425196851, 0.9606299212598425, 0.9606299212598425, 0.9763779527559056, 0.9763779527559056, 0.984251968503937, 0.984251968503937, 0.9921259842519685, 0.9921259842519685, 1.0, 1.0]}","{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.7688114425257282
